Acrónimo;La OMS ha emitido una nueva guía de salud.;La Organización Mundial de la Salud ha emitido una nueva guía de salud.;SI
Acrónimo;La OTAN celebró una reunión en Bruselas.;La Organización del Tratado del Atlántico Norte celebró una reunión en Bruselas.;SI
Acrónimo;La OPEP acordó reducir la producción de petróleo.;La Organización de Países Exportadores de Petróleo acordó reducir la producción de petróleo.;SI
Acrónimo;El FMI proporcionará un paquete de rescate.;El Fondo Monetario Internacional proporcionará un paquete de rescate.;SI
Acrónimo;La OTAN celebró una reunión en Bruselas.;La Liga de Naciones celebró una reunión en Bruselas.;NO
Acrónimo;El INE ha publicado los últimos datos de desempleo.;El Instituto Nacional de Estadística ha publicado los últimos datos de desempleo.;SI
Acrónimo;La UCM ofrece una amplia gama de grados y posgrados.;La Universidad Complutense de Madrid ofrece una amplia gama de grados y posgrados.;SI
Acrónimo;El CSIC lidera varios proyectos de investigación en España.;El Consejo Superior de Investigaciones Científicas lidera varios proyectos de investigación en España.;SI
Acrónimo;La RAE ha aceptado nuevas palabras en el diccionario.;La Real Academia Española ha aceptado nuevas palabras en el diccionario.;SI
Acrónimo;La CEOE ha emitido un comunicado respecto a la situación económica.;La Confederación Española de Organizaciones Empresariales ha emitido un comunicado respecto a la situación económica.;SI
Acrónimo;La AEAT ha extendido el plazo para la presentación de impuestos.;La Agencia Estatal de Administración Tributaria ha extendido el plazo para la presentación de impuestos.;SI
Acrónimo;El SEPE ha actualizado las cifras de paro.;El Servicio Público de Empleo Estatal ha actualizado las cifras de paro.;SI
Acrónimo;La AEMET ha emitido una alerta de mal tiempo.;La Agencia Estatal de Meteorología ha emitido una alerta de mal tiempo.;SI
Acrónimo;La UCM ofrece una amplia gama de grados y posgrados.;La Universidad Politécnica de Madrid ofrece una amplia gama de grados y posgrados.;NO
Acrónimo;El CSIC lidera varios proyectos de investigación en España.;El Centro de Investigaciones Sociológicas lidera varios proyectos de investigación en España.;NO
Acrónimo;La RAE ha aceptado nuevas palabras en el diccionario.;La Real Federación Española de Fútbol ha aceptado nuevas palabras en el diccionario.;NO
Acrónimo;La AEAT ha extendido el plazo para la presentación de impuestos.;El Instituto Nacional de Administración Pública ha extendido el plazo para la presentación de impuestos.;NO